nodeId,phyId,linkIndex,devType,nodeIdFar,phyIdFar,linkIndexFar,devTypeFar
0,8,25,0,0,0,2,1
0,8,27,0,0,1,2,1
0,9,8,0,0,2,8,1
0,9,15,0,0,3,8,1
0,8,24,0,0,0,3,1
0,8,26,0,0,1,3,1
0,9,9,0,0,2,9,1
0,9,14,0,0,3,9,1
0,8,0,0,0,9,0,0
0,8,1,0,0,9,1,0
0,8,2,0,0,9,2,0
0,8,3,0,0,9,3,0
0,8,16,0,0,9,16,0
0,8,17,0,0,9,17,0
0,8,18,0,0,9,18,0
0,8,19,0,0,9,19,0
0,8,23,0,0,9,23,0
0,8,22,0,0,9,22,0
0,8,21,0,0,9,21,0
0,8,20,0,0,9,20,0
0,8,4,0,0,8,6,0
0,8,5,0,0,8,7,0
0,9,4,0,0,9,6,0
0,9,5,0,0,9,7,0
